User Link,ranking,rep
"10105","1","3632"
"212421","2","2793"
"17609","3","2291"
"217849","4","1866"
"106","5","1794"
"178779","6","1738"
"216352","7","1587"
"186999","8","1513"
"194569","9","1335"
"205020","10","1309"
"3997","11","1245"
"207618","12","1241"
"178576","13","1173"
"189882","14","1130"
"32793","15","1120"
"130","16","1116"
"177684","17","1060"
"2739","18","1048"
"178988","19","989"
"10353","20","974"
"195342","21","966"
"181100","22","955"
"193683","23","942"
"1984","24","925"
"23044","25","873"
"219254","26","856"
"15146","27","828"
"210178","28","782"
"204271","29","773"
"182935","30","771"
"177345","31","760"
"179402","32","733"
"177613","33","733"
"215651","34","724"
"186083","35","724"
"191718","36","705"
"176217","37","700"
"6761","38","695"
"190095","39","695"
"208915","40","679"
"215674","41","678"
"217114","42","675"
"191482","43","670"
"13336","44","660"
"191211","45","630"
"181210","46","615"
"181472","47","608"
"209264","48","598"
"189339","49","593"
"192261","50","585"
"14963","51","585"
"216701","52","578"
"208216","53","567"
"190439","54","543"
"213987","55","540"
"7200","56","529"
"6","57","520"
"218145","58","489"
"178213","59","478"
"201026","60","473"
"211923","61","465"
"176262","62","460"
"183980","63","450"
"16095","64","450"
"182162","65","450"
"212513","66","442"
"179379","67","440"
"218319","68","440"
"208196","69","436"
"197641","70","435"
"178787","71","426"
"200452","72","420"
"232","73","414"
"182771","74","403"
"22934","75","395"
"217579","76","390"
"13968","77","390"
"184217","78","383"
"185124","79","380"
"216677","80","370"
"214491","81","366"
"7746","82","365"
"178188","83","365"
"177221","84","365"
"195696","85","355"
"213977","86","345"
"193999","87","340"
"188736","88","336"
"208074","89","333"
"218187","90","325"
"23750","91","321"
"6117","92","320"
"209435","93","318"
"7161","94","316"
"26009","95","314"
"210333","96","306"
"199733","97","300"
"192664","98","287"
"6520","99","285"
"219001","100","275"
"218886","101","265"
"211117","102","265"
"13610","103","261"
"220142","104","261"
"219091","105","259"
"218973","106","255"
"190134","107","254"
"214936","108","251"
"19768","109","250"
"184435","110","250"
"5648","111","246"
"180777","112","240"
"199934","113","238"
"177722","114","235"
"218423","115","234"
"32627","116","233"
"4058","117","231"
"33274","118","230"
"194625","119","229"
"200739","120","228"
"197209","121","228"
"176051","122","228"
"206807","123","225"
"218560","124","221"
"178379","125","220"
"197965","126","220"
"16416","127","216"
"182750","128","215"
"177188","129","215"
"215215","130","215"
"215517","131","213"
"210717","132","210"
"214984","133","210"
"196257","134","210"
"177382","135","208"
"31819","136","208"
"209140","137","207"
"188100","138","205"
"218592","139","204"
"191340","140","203"
"196174","141","200"
"204433","142","200"
"13597","143","200"
"201703","144","200"
"176223","145","195"
"22836","146","195"
"213542","147","195"
"197450","148","195"
"191270","149","195"
"181014","150","195"
"217239","151","193"
"217915","152","190"
"200977","153","188"
"198316","154","188"
"203622","155","188"
"182013","156","185"
"20380","157","181"
"216166","158","180"
"183055","159","180"
"211331","160","176"
"208926","161","175"
"208988","162","175"
"8923","163","173"
"10162","164","173"
"217892","165","170"
"182825","166","170"
"179270","167","170"
"189405","168","169"
"197030","169","168"
"214206","170","167"
"192876","171","165"
"186508","172","163"
"194488","173","163"
"2","174","161"
"190603","175","160"
"177093","176","160"
"31906","177","160"
"217473","178","158"
"12674","179","157"
"220718","180","155"
"191828","181","155"
"189892","182","155"
"217293","183","153"
"203315","184","153"
"751","185","151"
"20293","186","150"
"2339","187","150"
"204557","188","150"
"201400","189","148"
"178399","190","145"
"198604","191","145"
"184031","192","140"
"186752","193","140"
"188199","194","140"
"196563","195","138"
"212060","196","138"
"191307","197","137"
"205074","198","136"
"214157","199","135"
"220115","200","135"
"189918","201","135"
"197525","202","135"
"218848","203","135"
"218921","204","133"
"191936","205","133"
"198507","206","133"
"184863","207","131"
"183842","208","130"
"20458","209","130"
"17298","210","130"
"207951","211","130"
"220178","212","128"
"17974","213","128"
"216839","214","128"
"207380","215","126"
"218773","216","126"
"206485","217","125"
"177774","218","125"
"212926","219","125"
"208525","220","125"
"30745","221","123"
"220114","222","121"
"186143","223","120"
"177853","224","118"
"19649","225","118"
"218695","226","118"
"2872","227","117"
"14618","228","116"
"196758","229","115"
"189348","230","115"
"176184","231","115"
"198505","232","110"
"215456","233","110"
"218566","234","110"
"192547","235","110"
"200809","236","110"
"194908","237","110"
"14482","238","110"
"8823","239","110"
"198084","240","108"
"203408","241","106"
"183614","242","105"
"190772","243","105"
"212619","244","105"
"208176","245","105"
"3644","246","105"
"192530","247","105"
"218955","248","105"
"193415","249","103"
"194928","250","103"
"213768","251","101"
"181644","252","100"
"1439","253","100"
"218056","254","100"
"176684","255","100"
"14887","256","100"
"17721","257","100"
"220062","258","100"
"193266","259","100"
"19306","260","100"
"7017","261","100"
"176345","262","98"
"5040","263","98"
"188906","264","96"
"219443","265","95"
"188241","266","95"
"217242","267","95"
"216693","268","95"
"3158","269","95"
"214148","270","95"
"190062","271","95"
"481","272","95"
"192189","273","95"
"219918","274","94"
"215216","275","93"
"201560","276","93"
"209349","277","90"
"33519","278","90"
"192182","279","90"
"186057","280","90"
"219353","281","90"
"213911","282","90"
"4149","283","90"
"5620","284","88"
"214229","285","88"
"177993","286","88"
"5130","287","88"
"212436","288","86"
"219052","289","85"
"193988","290","85"
"219231","291","85"
"180978","292","85"
"218063","293","85"
"183597","294","85"
"195738","295","85"
"22339","296","84"
"220220","297","83"
"218370","298","83"
"218995","299","83"
"217128","300","83"
